,train_loss,train_acc,test_loss,test_acc
0,0.4130657675610839,0.7869598702464502,0.35835163023160854,0.871583850931677
1,0.384328025642321,0.8078739595234209,0.32742981275786526,0.8813664596273292
2,0.3789357784901423,0.8097164701322017,0.3564565490121427,0.8491459627329192
3,0.3760693552945632,0.8121047209074588,0.33371545426223587,0.8743012422360249
4,0.3714239048559212,0.8135264505467602,0.31464595017225844,0.8823757763975156
5,0.3697601041791683,0.8154199649094173,0.3283724915722142,0.8761257763975155
6,0.3673111136728493,0.81716684347968,0.396559532440227,0.8151785714285714
7,0.3645895656392219,0.8189213726130243,0.3417559718308241,0.8657996894409938
8,0.3642376754265713,0.8181257140525543,0.33039286616055863,0.8777562111801243
9,0.36222837932233964,0.8190731087808062,0.3258247352164725,0.8804736024844722
10,0.36112780873688805,0.8198955443120614,0.3621343332788219,0.846777950310559
11,0.36013721830514217,0.8212343928513138,0.33678670499635777,0.8701475155279503
12,0.35878171976421636,0.8227989330014689,0.3505576623522717,0.8603649068322982
13,0.3572694030214148,0.8232592418802024,0.38617814565482345,0.8171583850931677
14,0.3576657601383045,0.8227351783091236,0.3296244906342548,0.8832686335403727
15,0.3567559679358181,0.8237794801697405,0.3340649464856023,0.8758540372670808
16,0.355868961608549,0.8247039232087482,0.31610468133636144,0.8900621118012423
17,0.35474255677693833,0.8247217745226049,0.35293446027714276,0.8549301242236025
18,0.35527675318627,0.8251055777705238,0.3630533813134484,0.8494953416149069
19,0.35424355795369544,0.8246133915456177,0.3773713924314665,0.8299301242236026
